A,B,key,type
Redipoint,Redipoint is a Web-based data management solution that enables companies to centrally manage all Bill of Material (BOM) data and greatly simplifies environmental regulatory compliance and retailer scorecard reporting worldwide. ,['redipoint'],G
PRS,Package Registration System - The purpose of this application is to generate Sample IDs and Labels for the packages which are being sent in Laboratory for test.,['prs'],G
 TAT,"This functionality will be computing request completion time for a user request. Here is the list of objectives -
1 ) Ensure customers requested testing can be delivered within the customer requested timeline.
2)  Empower customer services with estimated completion dates to provide customers.
3) Support the operational teams in meeting the estimated completion date by providing a breakdown of tasks and due dates.
4) Empower the operational teams with actionable monitoring of tasks (actual vs estimated)
5)  Provide reporting to demonstrate the efficiency of the operational teams in meeting customers� expectations.
",['tat'],G
Interlink,"Interlink Portal - A common plateform to access multiple applications using Single Sign-On authentications. After successful authentications, It allows to access all the external applications for which user has access based on the application name and URL. Also used to manage New/ Existing Users, System Logs, Applications Details, Menus etc.",['interlink'],G
 IID,"Intertek ID - The purpose of this application is to provide an unique Intertek Id (IID) number associated with a request and will be used across systems. This IID number can be used to track items such as Job Status, Updates, data coming from Customer (i.e. sample attributes), results, and other functions as transactions flow from one application to another.",['iid'],G
Intertek ID,"Intertek ID - The purpose of this application is to provide an unique Intertek Id (IID) number associated with a request and will be used across systems. This IID number can be used to track items such as Job Status, Updates, data coming from Customer (i.e. sample attributes), results, and other functions as transactions flow from one application to another.","['intertek', 'id']",G
 RDS,Retail Data System - This application is for tracking status of test reports of retail customers like gap. It shows queue status and also where a particular items is stuck.It stores important fields of a manual test reports.,['rds'],G
Retail Data System,Retail Data System - This application is for tracking status of test reports of retail customers like gap. It shows queue status and also where a particular items is stuck.It stores important fields of a manual test reports.,"['retail', 'data', 'system']",G
 ILS,Intertek Laboratory System - The purpose of this applications is to manage the Test Request Form for a sample. Automate the TRF process and make it more user friendly.,['ils'],G
IAS,"Interlink Application Service - It's Web Service which is responsible to manage user registration and security groups being used in multiple applications. Using this application, admin can grant and revoke access.",['ias'],G
" iHSE 

","The IHSE system is a tool that allows Intertek�s H&S team to track and trend HSE related incidents. Local H&S
representative(s) shall enter HSE incidents details into the system as soon as incident information is verified. Automatic
notification will be sent out to GBL leaders once the incident is submitted on real time. Web submitted incidents shall be
imported to IHSE once verified. IHSE system includes country, Business line and global H&S reports and statistics.",['ihse'],G
 Apple Color ,"Intertek Plastics Technology Laboratories (Intertek PTL) is the one-stop resource for testing and inspection for polymer materials in every industry and application. Intertek PTL is the established Leader in Plastics Testing with over 20 years� experience, state-of-the-art equipment and fast turnaround on testing and test protocols. AppleColor TestSpecimens is web platform for testers to supply and order testspecimens, equivalent to e-commerse site.","['apple', 'color']",G
ChemSafe,"Chemsafe is a tool with main purpose of generating various types of reports related to toxicology & safety assessment of consumer products. It provides useful user interface with automatic calculations, automatic data capturing, maintaining database, etc. Predefined fields, templates, text-boxes will help user for decision making during data entry and report preparation.",['chemsafe'],G
CWP ,It Facilitates the customer to view and download the reports of the sample(Products) submitted for performing the quality tests.It is common web portal for the AMER. ,['cwp'],G
BP Star,"It have the functionality to send the e-mail on routine for the audits, sample collection of products to be tested, sample tracking etc. It also facilitates the customer to add more laboratries and user under the BP Stars.","['bp', 'star']",G
SharePoint,"SharePoint is a versatile technology that organizations and business units of all sizes can use to increase the efficiency of business processes and improve team productivity. With tools for collaboration that help people stay connected across organizational and geographic boundaries, SharePoint gives people access to information they need.",['sharepoint'],G
QHSE,"1) QHSE stands for Quality,�Health,�Safety, And�Environment. It is a web based System. 2)��This System Has Been Established As The Intertek Management System Since�1st�Of January 2005 And It Provides An Integrated Approach To QHSE",['qhse'],G
" Quality,�Health,�Safety, And�Environment","1) QHSE stands for Quality,�Health,�Safety, And�Environment. It is a web based System. 2)��This System Has Been Established As The Intertek Management System Since�1st�Of January 2005 And It Provides An Integrated Approach To QHSE","['quality', 'health', 'safety', 'environment']",G
Package Registration System,Package Registration System - The purpose of this application is to generate Sample IDs and Labels for the packages which are being sent in Laboratory for test.,"['package', 'registration', 'system']",
 AppleColor ,"Intertek Plastics Technology Laboratories (Intertek PTL) is the one-stop resource for testing and inspection for polymer materials in every industry and application. Intertek PTL is the established Leader in Plastics Testing with over 20 years� experience, state-of-the-art equipment and fast turnaround on testing and test protocols. AppleColor TestSpecimens is web platform for testers to supply and order testspecimens, equivalent to e-commerse site.",['applecolor'],
Interlink Application Service,"Interlink Application Service - It's Web Service which is responsible to manage user registration and security groups being used in multiple applications. Using this application, admin can grant and revoke access.","['interlink', 'application', 'service']",
Intertek Plastics Technology Laboratories,"Intertek Plastics Technology Laboratories (Intertek PTL) is the one-stop resource for testing and inspection for polymer materials in every industry and application. Intertek PTL is the established Leader in Plastics Testing with over 20 years� experience, state-of-the-art equipment and fast turnaround on testing and test protocols. AppleColor TestSpecimens is web platform for testers to supply and order testspecimens, equivalent to e-commerse site.","['intertek', 'plastics', 'technology', 'laboratories']",
Intertek Laboratory System ,Intertek Laboratory System - The purpose of this applications is to manage the Test Request Form for a sample. Automate the TRF process and make it more user friendly.,"['intertek', 'laboratory', 'system']",
What is a Phoenix,Phoenix is an application that mainly deals with invoice generation and master data management. ,"['what', 'phoenix']",G
What is a Phoenix,Phoenix is an application that mainly deals with invoice generation and master data management. ,"['what', 'phoenix']",
What are the various applications to which Phoenix interacts?,"There are various applications like ECS, PSFT, ORAP, ISWIM, GLIMS etc.","['what', 'various', 'applications', 'phoenix', 'interacts']",G
How many servers are allocated to Phoenix application?,"There are 5 servers on which Phoenix application run: One for each i.e. PROD,DEV,Stage,Lab1 and Lab3.","['how', 'many', 'servers', 'allocated', 'phoenix', 'application']",
What GIN means?,GIN stands for Global Identification Number. ,"['what', 'gin']",
How GIN is different from Job ID?,With GIN a job can be identified in any application while with Job ID it can be identified in Phoenix only.,"['how', 'gin', 'different', 'job', 'id']",
How many job types are there in phoenix?,Two types of job are there:  CM and CE.,"['how', 'many', 'job', 'types', 'phoenix']",
What are codeline 1 jobs in phoenix?,CM jobs,"['what', 'codeline', 'jobs', 'phoenix']",
What are codeline 2 jobs in phoenix?,CE jobs,"['what', 'codeline', 'jobs', 'phoenix']",
Why CM jobs have Reconcile page?,Yet to be updated ,"['why', 'cm', 'jobs', 'reconcile', 'page']",
How many invoices types are there in phoenix?,"5 type: Regular, Recurring, Deposit, Credit, Consolidated. ","['how', 'many', 'invoices', 'types', 'phoenix']",
What is the use of EPF in Phoenix?,After Job is integrated with EPF the line items must be edited at EPF end if required. ,"['what', 'use', 'epf', 'phoenix']",
How does different application interact with one another in phoenix?,Using Web Services,"['how', 'different', 'application', 'interact', 'phoenix']",
What is web service log in phoenix?,"Web Service Log, in Phoenix contains the log of the messages which are sent from Phoenix to other systems (outbound) e.g. GLIMS, ISWIM etc. and also the log for the messages which are received by Phoenix from other systems (inbound).
","['what', 'web', 'service', 'log', 'phoenix']",
Can a customer have more than one contract/contact in phoenix?,Yes,"['can', 'customer', 'more', 'contract/contact', 'phoenix']",
What is the role of ISF in Phoenix?,ISF stands for Invoice Submission Form that needs to be approved by the manager so that final invoice generation can be performed.,"['what', 'role', 'isf', 'phoenix']",
Can a Deposit Invoice be created for CM type of job in phoenix?,"No , it can only be created for CE type of jobs.","['can', 'deposit', 'invoice', 'be', 'created', 'cm', 'type', 'job', 'phoenix']",
Express billing route is applicable for which type of jobs in phoenix?,CE type of jobs,"['express', 'billing', 'route', 'applicable', 'type', 'jobs', 'phoenix']",
What are the types of CM jobs in phoenix?,"CM & MN Inspection & Testing ,CM, CP & MN FSTCM, CP & MN Outsourcing,CM Marine & Calibrations","['what', 'types', 'cm', 'jobs', 'phoenix']",
What are the types of CE jobs in phoenix?," Consumer Goods,  Commercial and Electrical, Government and Trade services,Chemical & Pharmaceuticals ,Industry and Assurance<br/>","['what', 'types', 'ce', 'jobs', 'phoenix']",G
Name the table associated with Entry page along with the primary key in phoenix?,"phx_job_order [CE] , JOB_NUMBER","['name', 'table', 'associated', 'entry', 'page', 'primary', 'key', 'phoenix']",
Name the table associated with Customers in phoenix?,phx_job_contracts [CE],"['name', 'table', 'associated', 'customers', 'phoenix']",
Name the table associated with job instructions in phoenix?,phx_job_test [CE],"['name', 'table', 'associated', 'job', 'instructions', 'phoenix']",
Name the table associated with Select charges in phoenix?,phx_job_order_line_item[CE],"['name', 'table', 'associated', 'select', 'charges', 'phoenix']",
Name the table associated with Invoice Preview in phoenix?,phx_invoice_line_item [CE],"['name', 'table', 'associated', 'invoice', 'preview', 'phoenix']",
Name the table associated with View Invoice in phoenix?,phx_invoice[CE],"['name', 'table', 'associated', 'view', 'invoice', 'phoenix']",
Name the table associated with Credit Invoice in phoenix?,phx_credit_invoice [CE],"['name', 'table', 'associated', 'credit', 'invoice', 'phoenix']",
Name the table associated with Entry page along with the primary key in phoenix?,"phx_job_order [CE] , JOB_NUMBER","['name', 'table', 'associated', 'entry', 'page', 'primary', 'key', 'phoenix']",
Name the table associated with Customers in phoenix?,phx_job_contracts [CE],"['name', 'table', 'associated', 'customers', 'phoenix']",
Name the table associated with job instructions in phoenix?,phx_job_test [CE],"['name', 'table', 'associated', 'job', 'instructions', 'phoenix']",
Name the table associated with Select charges in phoenix?,phx_job_order_line_item[CE],"['name', 'table', 'associated', 'select', 'charges', 'phoenix']",
Name the table associated with Invoice Preview in phoenix?,phx_invoice_line_item [CE],"['name', 'table', 'associated', 'invoice', 'preview', 'phoenix']",
Name the table associated with View Invoice in phoenix?,phx_invoice[CE],"['name', 'table', 'associated', 'view', 'invoice', 'phoenix']",
Name the table associated with Credit Invoice in phoenix?,phx_credit_invoice [CE],"['name', 'table', 'associated', 'credit', 'invoice', 'phoenix']",
What is the business unit on Entry Pagein phoenix?,Business Unit module maintains BU specific VAT locations information.,"['what', 'business', 'unit', 'entry', 'pagein', 'phoenix']",
What is the use of Operations Field on Entry Page in phoenix?,"There is a predefine dropdown list of operations, user can select any of the operation ,according to the requirement.","['what', 'use', 'operations', 'field', 'entry', 'page', 'phoenix']",
How can one select the Service Location in phoenix?,"or a single port location , there will be many service locations. Thus, user can select any one service location IDs from the list.","['how', 'can', 'select', 'service', 'location', 'phoenix']",
What can happen if finish date is not filled in the Entry Page in phoenix?,"Finish date is also required field on entry page. Job will not move from job instruction page to reconcile page if finish date is absent on entry page.
","['what', 'can', 'happen', 'finish', 'date', 'filled', 'entry', 'page', 'phoenix']",
How can we know whether a customer's status is active/inactive in phoenix?,"Customers tab --> Customers --> Entering the Customer id --> Click on search button Status will be shown
","['how', 'can', 'we', 'know', 'customer', 'status', 'active/inactive', 'phoenix']",
What all information is present in the Customers field in phoenix?,"A global repository that contains customer, customer address, contact, and their relationship information. It is required for billing, contacting customer, and analyzing customer information.
","['what', 'information', 'present', 'customers', 'field', 'phoenix']",
What does Job instruction page contains in phoenix?,This page consists of all customer related information. ,"['what', 'job', 'instruction', 'page', 'phoenix']",
What is the Origin field in job instruction page in phoenix?,"rigin provides information regarding, way of communication between Intertek and customer. It can be Fax, Email, Web Phone direct connect, verbal etc. It can be Fax, Email, Web Phone direct connect, verbal etc.","['what', 'origin', 'field', 'job', 'instruction', 'page', 'phoenix']",
What is Remit to field in JI page in phoenix?,Remit to refers the name of the Bank.,"['what', 'remit', 'field', 'ji', 'page', 'phoenix']",
On which technology phoenix works?,"It works on Java (Spring MVC , Hibernate).","['technology', 'phoenix', 'works']",
What is the use of check box (GLIMS and ISWIM) on Job instruction page in phoenix?,"hen user checks this check box, GLIMS & ISWIM module will verify all the data and revert back by changing its status to
SG & SIP, XG & XP or DG & DI.
","['what', 'use', 'check', 'box', 'glims', 'iswim', 'job', 'instruction', 'page', 'phoenix']",
What are the types of status in phoenix?,"1) SGP:      Sent from GLIMS to phoenix<br/>
2) SIP:      Sent from ISWIM to Phoenix <br/>
3)XG:       Cancelled in GLIMS<br/>
4) XI:       Cancelled in ISWIM<br/>
5) DG:       Delivered to GLIMS<br/>
6)DI:       Delivered to ISWIM<br/>","['what', 'types', 'status', 'phoenix']",
What are the types of status in phoenix?,"1) SGP:      Sent from GLIMS to phoenix
2) SIP:      Sent from ISWIM to Phoenix 
3)XG:       Cancelled in GLIMS
4) XI:       Cancelled in ISWIM
5) DG:       Delivered to GLIMS
6)DI:       Delivered to ISWIM","['what', 'types', 'status', 'phoenix']",
How can we check the reason for integration failure on phoenix apart from checking on database?,"One can go to Reports tab , then on web service log and can enter the Job number in the key field. Result will be generated in the form of XML file.
","['how', 'can', 'we', 'check', 'reason', 'integration', 'failure', 'phoenix', 'apart', 'checking', 'database']",
What does Inspection tab on Reconcile page consists of in phoenix?,"The Inspection tab on Reconcile page contains details such as no., Contract, Product, Ordered Qty, Billed Qty, & Billable","['what', 'inspection', 'tab', 'reconcile', 'page', 'phoenix']",
How does inspection info flows in phoenix?,From ISWIM to Phoenix.,"['how', 'inspection', 'info', 'flows', 'phoenix']",
What is to be done on select Charges page in phoenix?,"On select charges page , we can either select all of the tests or only a few of them.","['what', 'be', 'done', 'select', 'charges', 'page', 'phoenix']",
How and where a deposit invoice can be created in phoenix?,"On select charges page , under deposit lines tab , click on the leftmost icon(add deposit line item).","['how', 'where', 'deposit', 'invoice', 'can', 'be', 'created', 'phoenix']",
Which type of invoices are not applicable for CM type jobs in phoenix?,"Express billing, Deposit Invoice, Recurring Invoice , only regular invoice is applicable.","['which', 'type', 'invoices', 'applicable', 'cm', 'type', 'jobs', 'phoenix']",
What is a deposit invoice in phoenix?,Prepayment invoice for services not yet rendered.,"['what', 'deposit', 'invoice', 'phoenix']",
What is a Consolidated invoice in phoenix?,Accumulation of a group of third party single invoices under one common header.,"['what', 'consolidated', 'invoice', 'phoenix']",
What is a Recurring invoice in phoenix?,"Pre scheduled invoices for services that are billed out monthly, quarterly, or annually.","['what', 'recurring', 'invoice', 'phoenix']",
Why is it needed to update deposit invoice in phoenix?,"Once payment is received, Accounts Receivable marks the deposit invoice as paid within PeopleSoft. The billing user will receive an external notification that the deposit invoice was paid. 
The next step is to update the deposit invoice within Phoenix.
","['why', 'it', 'update', 'deposit', 'invoice', 'phoenix']",
How can one update deposit invoice in phoenix?,"Under Jobs tab , there is a option for Update Deposit Invoice ,from the Deposit Invoice Search tab, enter the Deposit Invoice number and click the Search button to retrieve the Deposit Invoice.
","['how', 'can', 'update', 'deposit', 'invoice', 'phoenix']",
Can Deposit Reference number be changed in phoenix?,"The Deposit Reference Number can be changed. For example, if the customer paid the deposit by credit card, the credit card authorization number could be entered as a reference.","['can', 'deposit', 'reference', 'number', 'be', 'changed', 'phoenix']",
How can a user search for consolidated invoices that have been generated in phoenix?,"User may enter one or multiple of the following parameters to search for a consolidated invoice already created. Business Unit
Customer
Customer Name
Invoice
","['how', 'can', 'user', 'search', 'consolidated', 'invoices', 'been', 'generated', 'phoenix']",
Can there be more than one ISF associated with a job in phoenix?,Yes,"['can', 'be', 'more', 'isf', 'associated', 'job', 'phoenix']",
When does the status of ISF gets changed to Completed in phoenix?,Once an ISF is associated with a generated invoice,"['when', 'status', 'isf', 'changed', 'completed', 'phoenix']",
How many ISF can be there in the ReadyToBill status in phoenix?,"Only one ,this is the ISF that will be used in the invoicing process by the billers.","['how', 'many', 'isf', 'can', 'be', 'readytobill', 'status', 'phoenix']",
What is the significance of integrating messages in phoenix?,"Suppose a job has been updated in ECS, then it also has to be updated in Phoenix or if a new job is created in ECS, then it also needs to be created in Phoenix. So, Integration messages help in updating/creating the jobs in other system. 
","['what', 'significance', 'integrating', 'messages', 'phoenix']",
Integration messages are present in which format in phoenix?,XML files,"['integration', 'messages', 'present', 'format', 'phoenix']",
"For which jobs , EPF is present in phoenix?","EPF is a separate system which comes under GBS module, and has been created for CE jobs.","['jobs', 'epf', 'present', 'phoenix']",
Where can a user associate ISF with an invoice in phoenix?,The user will be given an opportunity to associate an ISF to an invoice in the Invoice Preview page.,"['where', 'can', 'user', 'associate', 'isf', 'invoice', 'phoenix']",
Which type of jobs have more than one contracts in phoenix?,CM jobs.,"['which', 'type', 'jobs', 'more', 'contracts', 'phoenix']",
Can more than one invoices be generated for a particular job in phoenix?,"Yes. For different test case selection, there can be different invoices.","['can', 'more', 'invoices', 'be', 'generated', 'particular', 'job', 'phoenix']",
hi,hello,['hi'],G
hello,hello,['hello'],G
what is your  name,Intertek Buddy,"['what', 'your', 'name']",G
what is your  name,Intertek Buddy,"['what', 'your', 'name']",
Intertek Buddy,That is my name,"['intertek', 'buddy']",G
Intertek Buddy,That is my name,"['intertek', 'buddy']",G
hey,,,
